class_date,course_type,level_category,language,predicted_q
2018-02-26 15:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 15:30:00.000,Private,True Beginner,Spanish,2
2018-02-26 15:30:00.000,Live,True Beginner,Spanish,29
2018-02-26 15:30:00.000,Private,High Beginner,Spanish,2
2018-02-26 15:30:00.000,Live,High Beginner,Portuguese,6
2018-02-26 16:00:00.000,Live,High Beginner,Portuguese,7
2018-02-26 16:00:00.000,Private,High Beginner,Spanish,3
2018-02-26 16:00:00.000,Live,True Beginner,Spanish,33
2018-02-26 16:00:00.000,Private,True Beginner,Spanish,2
2018-02-26 16:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 16:00:00.000,Live,Intermediate,Spanish,18
2018-02-26 16:00:00.000,Live,True Beginner,Portuguese,5
2018-02-26 16:00:00.000,Private,True Beginner,Portuguese,1
2018-02-26 16:00:00.000,Live,Intermediate,Portuguese,4
2018-02-26 16:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 16:00:00.000,Live,High Beginner,Spanish,28
2018-02-26 16:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 16:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 16:30:00.000,Live,High Beginner,Spanish,30
2018-02-26 16:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 16:30:00.000,Live,Intermediate,Portuguese,3
2018-02-26 16:30:00.000,Private,True Beginner,Portuguese,1
2018-02-26 16:30:00.000,Live,True Beginner,Portuguese,6
2018-02-26 16:30:00.000,Live,Intermediate,Spanish,16
2018-02-26 16:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 16:30:00.000,Private,True Beginner,Spanish,2
2018-02-26 16:30:00.000,Live,True Beginner,Spanish,32
2018-02-26 16:30:00.000,Private,High Beginner,Spanish,3
2018-02-26 16:30:00.000,Live,High Beginner,Portuguese,8
2018-02-26 17:00:00.000,Live,High Beginner,Portuguese,7
2018-02-26 17:00:00.000,Private,High Beginner,Spanish,3
2018-02-26 17:00:00.000,Live,True Beginner,Spanish,34
2018-02-26 17:00:00.000,Private,True Beginner,Spanish,2
2018-02-26 17:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 17:00:00.000,Live,Intermediate,Spanish,18
2018-02-26 17:00:00.000,Live,True Beginner,Portuguese,6
2018-02-26 17:00:00.000,Private,True Beginner,Portuguese,2
2018-02-26 17:00:00.000,Live,Intermediate,Portuguese,3
2018-02-26 17:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 17:00:00.000,Live,High Beginner,Spanish,35
2018-02-26 17:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 17:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 17:30:00.000,Live,High Beginner,Spanish,34
2018-02-26 17:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 17:30:00.000,Live,Intermediate,Portuguese,4
2018-02-26 17:30:00.000,Private,True Beginner,Portuguese,3
2018-02-26 17:30:00.000,Live,True Beginner,Portuguese,7
2018-02-26 17:30:00.000,Live,Intermediate,Spanish,19
2018-02-26 17:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 17:30:00.000,Private,True Beginner,Spanish,2
2018-02-26 17:30:00.000,Live,True Beginner,Spanish,35
2018-02-26 17:30:00.000,Private,High Beginner,Spanish,3
2018-02-26 17:30:00.000,Live,High Beginner,Portuguese,8
2018-02-26 18:00:00.000,Live,High Beginner,Portuguese,8
2018-02-26 18:00:00.000,Private,High Beginner,Spanish,3
2018-02-26 18:00:00.000,Live,True Beginner,Spanish,39
2018-02-26 18:00:00.000,Private,True Beginner,Spanish,2
2018-02-26 18:00:00.000,Private,High Beginner,Portuguese,2
2018-02-26 18:00:00.000,Live,Intermediate,Spanish,20
2018-02-26 18:00:00.000,Live,True Beginner,Portuguese,7
